pinyin,zh,eng,rad,mean_intensity,mean_intensity_sd,type1,type1_p,type2,type2_p,pos,neg,neu
tongkuai,痛快,to,2,5.26,1.48,Hp,82.6,Ot,13,82.6,0,17.4
tongqing,同情,empathy,2,4.41,1.47,Ot,77.3,Sd,18.2,27.3,13.6,59.1
tongxin,痛心,grief,1,6.29,1.1,Sd,87.5,Ag,4.2,0,100,0
touru,投入,actively,0,2.65,2.2,Nu,52.2,Ot,39.1,40.9,0,59.1
touteng,头疼,headache,0,3.57,1.86,Ax,47.8,Nu,21.7,0,43.5,56.5
tuichong,推崇,praise,0,4.92,1.75,Hp,79.2,Ot,12.5,79.2,0,20.8
tuisang,颓丧,dispirited,0,4.91,1.25,Ax,34.8,Ot,34.8,0,95.7,4.3
tuitang,颓唐,dejected,0,5.18,1.3,Sd,39.1,Ot,34.8,0,100,0
weiju,畏惧,fear,2,5.46,1.35,Fr,100,NA,0,0,75,25
weinan,为难,be,0,4.09,1.04,Ax,59.1,Ot,40.9,4.5,72.7,22.7
weiqie,畏怯,coward,2,5.33,1.25,Fr,95.8,Ax,4.2,0,91.3,8.7
weiqu,委屈,feel,0,4.74,0.74,Sd,87,Ax,8.7,4.3,47.8,47.8
wohuo,窝火,angry,0,6.04,0.79,Ag,91.7,Hp,4.2,4.2,83.3,12.5
wonang,窝囊,feel,0,4.61,1.74,Dg,60.9,Ot,21.7,0,95.5,4.5
woxin,窝心,pleased,1,4.9,1.3,Hp,43.5,Un,13,60,25,15
wugu,无辜,innocent,0,2.35,1.37,Ot,52.2,Nu,30.4,4.3,13,82.6
wuliao,无聊,bored,0,2.55,1.75,Ot,50,Nu,36.4,0,27.3,72.7
wunai,无奈,helpless,0,4.08,1.44,Sd,50,Ot,37.5,0,75,25
xiai,喜爱,favorite,0,4.52,1.41,Hp,91.3,Ot,4.3,87,0,13
xiang,想,think,1,2.59,1.9,Nu,43.5,Ot,43.5,13.6,0,86.4
